PLAYER,TEAM,ENDORSEMENT_MILLIONS,PCT,TOTAL_MILLIONS,VALUE_MILLIONS,ELO,CONF,POSITION,AGE,MP,eFG%,GP,MPG,WINS_RPM,W,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
LeBron James,Cleveland Cavaliers,55,100,0.843042,1200,1545,East,SF,32,37.8,0.594,74,37.8,20.43,51,30.96,14704,5533.5,1501.5
Kyrie Irving,Cleveland Cavaliers,13,100,0.843042,1200,1545,East,PG,24,35.1,0.535,72,35.1,8.28,47,17.64,4796,1541,695
Kevin Durant,Golden State Warriors,36,100,0.8034359999999999,2600,1770,West,SF,28,33.4,0.594,62,33.4,12.24,51,26.5,6288.5,1425.5,366
Stephen Curry,Golden State Warriors,35,100,0.8034359999999999,2600,1770,West,PG,28,33.4,0.58,79,33.4,18.8,65,12.11,17570.5,12278,2893
James Harden,Houston Rockets,20,94,0.6959029999999999,1650,1602,West,PG,27,36.4,0.525,81,36.4,15.54,54,26.5,3279,969,321.5
Russell Westbrook,Oklahoma City Thunder,15,100,0.746323,1025,1543,West,PG,28,34.6,0.47600000000000003,81,34.6,17.34,46,26.5,4279,2130.5,559
Dwyane Wade,Chicago Bulls,13,104,0.888882,2500,1519,East,SG,35,29.9,0.457,60,29.9,2.52,29,23.2,4671,349.5,149.5
Derrick Rose,New York Knicks,14,100,0.8107409999999999,3300,1374,East,PG,28,32.5,0.47700000000000004,64,32.5,1.17,26,21.32,3273.5,1864,2504.5
Carmelo Anthony,New York Knicks,8,100,0.8107409999999999,3300,1374,East,SF,32,34.3,0.488,74,34.3,5.26,29,24.56,3773.5,720.5,220
Chris Paul,Los Angeles Clippers,8,100,0.782609,2e3,1636,West,PG,31,31.5,0.555,61,31.5,13.48,43,22.87,2689.5,829,178.5
